corso matricola sesso provincia anno tipo diploma votomat base votolau lode
E61 530455 F TV 1999 N "*MATURITA'TECNICAPERILTURISMO" 100 100 102 NL
E61 530458 F TV 1999 N "*MATURITA'PROFESSIONALEPERILCOMMERCIO" 100 100  90 NL
E61 530476 F PD 1999 N "*MATURITA'TECNICACOMMERCIALE"  50  60 101 NL
E66 530479 F VE 1999 N "*MATURITA'SCIENTIFICA"  79 100 101 NL
E61 530481 F VE 1999 N "*MATURITA'SCIENTIFICA"  88 100  99 NL
E66 530482 F PD 1999 N "MATURITA'PROFESS.ALBERGHIERA"  98 100  96 NL
E61 530484 F VI 1999 N "*MATURITA'TECNICACOMMERCIALE"  94 100 101 NL
E66 530492 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO"  94 100 108 NL
E71 530509 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  80 100 103 NL
E66 530511 F VI 1999 N "*LICENZALINGUISTICA"  82 100  94 NL
E66 530518 F VE 1999 N "*MATURITA'CLASSICA"  47  60 106 NL
E66 530547 F VR 1999 N "*MATURITA'PROFESSIONALEPERILCOMMERCIO"  82 100  95 NL
E66 530559 F VR 1999 N "*MATURITA'TECNICACOMMERCIALE"  71 100  92 NL
E63 530576 F VE 1999 N "BACALAUREAT"  54  60  93 NL
E70 530580 M PD 1999 N "*MATURITA'CLASSICA"  70 100  99 NL
E69 530588 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  73 100  95 NL
E70 530598 M VI 1999 N "*MATURITA'TECNICACOMMERCIALE"  76 100  93 NL
E61 530600 F VE 1999 N "*MATURITA'SCIENTIFICA"  92 100  95 NL
E66 530607 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO" 100 100 103 NL
E64 530611 M VE 1999 N "*MATURITA'SCIENTIFICA"  89 100  97 NL
E72 530617 F PD 1999 N "*MATURITA'TECNICACOMMERCIALE"  92 100  98 NL
E61 530625 F TV 1999 N "*PERITOAZIENDALE"  95 100  99 NL
E61 530629 F VE 1999 N "*MATURITA'TECNICAPERILTURISMO"  88 100  86 NL
E61 530633 F PD 1999 N "*MATURITA'SCIENTIFICA"  90 100 100 NL
E61 530653 F VE 1999 N "*MATURITA'TECNICACOMMERCIALE"  87 100 101 NL
E60 530654 M TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  82 100  93 NL
E61 530658 F TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  90 100  93 NL
E71 530673 M TV 1999 N "*MATURITA'SCIENTIFICA"  40  60  99 NL
E72 530685 F VI 1999 N "MATURITA'ARTISTICASPERIMENTALE(*)"  78 100  97 NL
E61 530699 F TV 1999 N "*MATURITA'TECNICACOMMERCIALE"  95 100  95 NL
E61 530702 F TV 1999 N "*MATURITA'TECNICAPERILTURISMO" 100 100 101 NL
E71 530705 M BL 1999 N "*MATURITA'SCIENTIFICA"  64 100  95 NL
E60 530707 M VE 1999 N "*MATURITA'SCIENTIFICA"  77 100  90 NL
